Image Index,Model,Dataset,Attribution Method,Layer,Metric,Upscale Method,Mixing Method,Value
256,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,bilinearUpsampling,MultiplierMix,0.22630338
256,VGG11,Imagenettewoof,GradCAMPlusPlus,features.10,road_combined,bilinearUpsampling,,0.32142732
256,VGG11,Imagenettewoof,GradCAMPlusPlus,features.10,road_combined,bilinearUpsampling,MultiplierMix,0.2581544
256,VGG11,Imagenettewoof,GradCAMPlusPlus,features.5,road_combined,bilinearUpsampling,,0.3796318
256,VGG11,Imagenettewoof,GradCAMPlusPlus,features.5,road_combined,bilinearUpsampling,MultiplierMix,0.32747337
257,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,,0.18512055
257,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.18488425
257,VGG11,Imagenettewoof,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,,0.2362413
257,VGG11,Imagenettewoof,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,0.22122234
257,VGG11,Imagenettewoof,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,,0.37510747
257,VGG11,Imagenettewoof,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,MultiplierMix,0.33786094
257,VGG11,Imagenettewoof,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,,0.3079404
257,VGG11,Imagenettewoof,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,MultiplierMix,0.33405635
257,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,,0.31482714
257,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,MultiplierMix,0.31482697
257,VGG11,Imagenettewoof,DeepLiftShap8,features.15,road_combined,bilinearUpsampling,,0.33484864
257,VGG11,Imagenettewoof,DeepLiftShap8,features.15,road_combined,bilinearUpsampling,MultiplierMix,0.33738276
257,VGG11,Imagenettewoof,DeepLiftShap8,features.10,road_combined,bilinearUpsampling,,0.27661955
257,VGG11,Imagenettewoof,DeepLiftShap8,features.10,road_combined,bilinearUpsampling,MultiplierMix,0.31549025
